,ds,y,LR_pred,LR_pred_with_noise
464,11136,77.03,77.08910514,77.09005098
465,11160,77.14,77.08827874,77.09695078
466,11184,77.11,77.08745234,77.08667042
467,11208,77.11,77.08662594,77.10989396
468,11232,77.16,77.08579955,77.07223885
469,11256,77.09,77.08497315,77.07922616
470,11280,77.14,77.08414675,77.1200466
471,11304,77.17,77.08332035,77.10304278
472,11328,77.12,77.08249396,77.03482384
473,11352,77.1,77.08166756,77.07487725
474,11376,77.18,77.08084116,77.07418703
475,11400,77.25,77.08001476,77.07459597
476,11424,77.19,77.07918837,77.09029784
477,11448,77.32,77.07836197,77.10178974
478,11472,77.26,77.07753557,77.05879538
479,11496,77.24,77.07670917,77.08810637
480,11520,77.13,77.07588278,77.100696
481,11544,77.12,77.07505638,77.08477368
482,11568,77.22,77.07422998,77.05567085
483,11592,77.1,77.07340359,77.05800698
484,11616,77.12,77.07257719,77.07361566
485,11640,77.18,77.07175079,77.06025192
486,11664,77.18,77.07092439,77.06824895
487,11688,77.21,77.070098,77.06569764
488,11712,77.19,77.0692716,77.08824263
489,11736,77.21,77.0684452,77.08632492
490,11760,77.23,77.0676188,77.0416186
491,11784,77.22,77.06679241,77.08423663
492,11808,77.12,77.06596601,77.09978245
493,11832,77.18,77.06513961,77.05959468
494,11856,77.26,77.06431321,77.09274756
495,11880,77.3,77.06348682,77.03175869
496,11904,77.22,77.06266042,77.06701626
497,11928,77.17,77.06183402,77.05854374
498,11952,77.24,77.06100763,77.0784673
499,11976,77.24,77.06018123,77.0651844
500,12000,77.22,77.05935483,77.08755675
501,12024,77.27,77.05852843,77.08855035
502,12048,77.22,77.05770204,77.05534929
503,12072,77.19,77.05687564,77.0444376
504,12096,77.17,77.05604924,77.07715363
505,12120,77.19,77.05522284,77.0469282
506,12144,77.19,77.05439645,77.08143563
507,12168,77.2,77.05357005,77.0443226
508,12192,77.18,77.05274365,77.05746525
509,12216,77.22,77.05191725,77.03462045
510,12240,77.16,77.05109086,77.04516122
511,12264,77.17,77.05026446,77.06024153
512,12288,77.15,77.04943806,77.0348329
513,12312,77.16,77.04861167,77.09191985
514,12336,77.18,77.04778527,77.07126759
515,12360,77.16,77.04695887,77.05105924
516,12384,77.1,77.04613247,77.04676398
517,12408,77.08,77.04530608,77.04581987
518,12432,77.07,77.04447968,77.04487666
519,12456,77.06,77.04365328,77.0342762
520,12480,77.14,77.04282688,77.03237525
521,12504,77.21,77.04200049,77.0556391
522,12528,77.21,77.04117409,77.0247074
523,12552,77.17,77.04034769,77.03787071
524,12576,77.2,77.03952129,77.05877174
525,12600,77.25,77.0386949,77.01834386
526,12624,77.25,77.0378685,77.02601619
527,12648,77.21,77.0370421,77.04779743
528,12672,77.12,77.0362157,77.02338069
529,12696,77.08,77.03538931,77.02115148
530,12720,77.07,77.03456291,77.03389818
531,12744,76.81,77.03373651,77.03432359
532,12768,76.85,77.03291012,77.00946387
533,12792,76.91,77.03208372,77.0475571
534,12816,76.81,77.03125732,77.01102013
535,12840,76.97,77.03043092,77.04437501
536,12864,76.94,77.02960453,77.0401792
537,12888,76.68,77.02877813,77.01654263
538,12912,76.86,77.02795173,77.02726489
539,12936,76.84,77.02712533,77.01889759
540,12960,76.8,77.02629894,77.03697378
541,12984,76.83,77.02547254,77.04865214
542,13008,76.81,77.02464614,77.04506805
543,13032,76.88,77.02381974,77.02047651
544,13056,76.86,77.02299335,77.01942247
545,13080,76.84,77.02216695,77.03825444
546,13104,76.92,77.02134055,77.0159769
547,13128,76.83,77.02051416,77.00866061
548,13152,76.87,77.01968776,77.02953186
549,13176,76.91,77.01886136,76.99937552
550,13200,76.88,77.01803496,77.00978228
551,13224,76.87,77.01720857,77.0333762
552,13248,76.94,77.01638217,77.01967778
553,13272,77.01,77.01555577,77.0434226
554,13296,76.93,77.01472937,77.00359231
555,13320,77.08,77.01390298,76.98526443
556,13344,76.95,77.01307658,77.00025333
557,13368,76.97,77.01225018,77.02045062
558,13392,76.86,77.01142378,77.01078823
559,13416,76.84,77.01059739,77.03718666
560,13440,77.01,77.00977099,77.01852506
561,13464,76.91,77.00894459,77.0147151
562,13488,76.89,77.00811819,77.00865804
563,13512,76.93,77.0072918,76.99937925
564,13536,76.91,77.0064654,76.96339612
565,13560,76.95,77.005639,77.02700696
566,13584,76.94,77.00481261,77.00307679
567,13608,76.97,77.00398621,76.99736873
568,13632,77.07,77.00315981,76.98561456
569,13656,77.19,77.00233341,77.04791282
570,13680,77.22,77.00150702,76.99789948
571,13704,77.21,77.00068062,76.99296732
572,13728,77.24,76.99985422,77.00651926
573,13752,77.28,76.99902782,76.98349597
574,13776,77.17,76.99820143,77.0060582
575,13800,77.07,76.99737503,76.96917091
576,13824,77.13,76.99654863,77.02277442
577,13848,77.17,76.99572223,76.98567261
578,13872,77,76.99489584,76.99756945
579,13896,77.29,76.99406944,76.95590931
580,13920,77.1,76.99324304,76.99857478
581,13944,77.14,76.99241665,76.98721061
582,13968,77.12,76.99159025,77.00588248
583,13992,77.1,76.99076385,77.02057987
584,14016,77.02,76.98993745,77.02896742
585,14040,77.05,76.98911106,76.98098466
586,14064,76.96,76.98828466,76.98746782
587,14088,77.18,76.98745826,77.04026633
588,14112,77.06,76.98663186,76.96979934
589,14136,77.14,76.98580547,76.99756558
590,14160,77.2,76.98497907,77.02985148
591,14184,77.25,76.98415267,76.95018972
592,14208,77.01,76.98332627,76.95885145
593,14232,76.98,76.98249988,76.9935654
594,14256,77.27,76.98167348,77.005933
595,14280,76.9,76.98084708,76.9811588
596,14304,76.87,76.98002069,76.98979763
597,14328,77.1,76.97919429,76.9950278
598,14352,76.92,76.97836789,76.98079896
599,14376,77.13,76.97754149,76.97842523
600,14400,77.11,76.9767151,76.97743446
601,14424,77.15,76.9758887,76.9795942
602,14448,77.14,76.9750623,76.9758299
603,14472,77.06,76.9742359,76.99482174
604,14496,77.19,76.97340951,76.94716204
605,14520,77.11,76.97258311,76.96891778
606,14544,77.21,76.97175671,76.97111199
607,14568,77.05,76.97093031,76.96402528
608,14592,77.26,76.97010392,76.9957752
609,14616,77.07,76.96927752,76.97866995
610,14640,77.13,76.96845112,76.95734981
611,14664,77.22,76.96762472,76.95033613
612,14688,77.14,76.96679833,76.97592382
613,14712,77.11,76.96597193,76.94947573
614,14736,77.3,76.96514553,76.97306435
615,14760,77.14,76.96431914,76.9486494
616,14784,77.12,76.96349274,76.96034987
617,14808,77.05,76.96266634,76.96027079
618,14832,77.24,76.96183994,76.9531974
619,14856,77.06,76.96101355,76.96581422
620,14880,76.89,76.96018715,77.00190019
621,14904,77.24,76.95936075,76.95543147
622,14928,76.96,76.95853435,76.96572026
623,14952,76.94,76.95770796,76.94755106
624,14976,76.92,76.95688156,76.95878395
625,15000,77.03,76.95605516,76.96253573
626,15024,77.09,76.95522876,76.94669104
627,15048,77.18,76.95440237,76.96073744
628,15072,76.98,76.95357597,76.93148799
629,15096,76.84,76.95274957,76.93851474
630,15120,76.82,76.95192318,76.96940439
631,15144,76.74,76.95109678,76.94738843
632,15168,76.9,76.95027038,76.96858511
633,15192,76.74,76.94944398,76.95444477
634,15216,76.73,76.94861759,76.96429444
635,15240,76.99,76.94779119,76.97450176
636,15264,76.92,76.94696479,76.95499607
637,15288,76.84,76.94613839,76.93486944
638,15312,77.02,76.945312,76.94830773
639,15336,76.74,76.9444856,76.93007629
640,15360,76.96,76.9436592,76.93354377
641,15384,76.74,76.9428328,76.93764465
642,15408,76.98,76.94200641,76.92302145
643,15432,76.94,76.94118001,76.95390062
644,15456,76.93,76.94035361,76.93721453
645,15480,76.89,76.93952722,76.94749238
646,15504,76.8,76.93870082,76.92553079
647,15528,76.93,76.93787442,76.95135762
648,15552,76.87,76.93704802,76.95101434
649,15576,76.84,76.93622163,76.96118875
650,15600,76.96,76.93539523,76.92175233
651,15624,77.04,76.93456883,76.94817784
652,15648,76.95,76.93374243,76.96294872
653,15672,76.89,76.93291604,76.91536687
654,15696,76.88,76.93208964,76.92104892
655,15720,76.98,76.93126324,76.95130481
656,15744,76.83,76.93043684,76.93407687
657,15768,76.94,76.92961045,76.964612
658,15792,76.83,76.92878405,76.9216146
659,15816,76.81,76.92795765,76.92585481
660,15840,76.75,76.92713125,76.95078577
661,15864,77.01,76.92630486,76.92948394
662,15888,76.67,76.92547846,76.94136955
663,15912,76.91,76.92465206,76.96161536
